spkid,full_name,pdes,neo,pha,H,Mass,G,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,H_sigma,diameter_sigma,orbit_id,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,moid_jup,t_jup,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,condition_code,rms,two_body,A1,A1_sigma,A2,A2_sigma,A3,A3_sigma,DT,DT_sigma
20141614,141614 (2002 JV15),141614,Y,Y,19.52,0,,,,,,,,,,,,,,63,2025-11-21.0,J2000,0.5362,1.624,0.753,7.19,200.6,127.42,99.51,2.5,0.4762,2460791.52,2025-04-26.0,756,2.07,0.0396,15.4,2.9,4.14,5.20E-08,2.00E-08,7.60E-08,1.40E-05,7.40E-05,7.20E-05,5.70E-05,3.10E-08,8.90E-09,1.20E-04,1.40E-05,APO,0,0.55446,,,,,,,,,
20141851,141851 (2002 PM6),141851,Y,Y,17.81,0,,,,,,,,,,,,,,JPL 170,2025-11-21.0,J2000,0.8502,1.198,0.179,19.14,304,224.53,311.78,2.22,0.7517,2461064.65,2026-01-24.1,479,1.31,0.0389,15.1,2.89,4.82,2.70E-08,8.60E-10,3.20E-08,6.00E-06,1.00E-05,9.20E-06,6.90E-06,1.60E-09,8.10E-10,9.30E-06,5.20E-07,APO,0,0.49389,,,,,,,,,
20143404,143404 (2003 BD44),143404,Y,Y,16.95,0,,,,,78.64,,,,,,,,,248,2025-11-21.0,J2000,0.6077,1.967,0.772,2.66,181.16,89.4,25.11,3.16,0.3572,2460930.18,2025-09-11.6,1.01E+03,2.76,0.0175,6.83,1.97,3.62,1.30E-09,1.70E-09,2.40E-09,6.70E-08,3.00E-06,3.20E-06,1.60E-06,2.70E-09,4.50E-10,4.30E-06,1.30E-06,APO,0,0.47907,,,,,,,,,
20143487,143487 (2003 CR20),143487,Y,Y,18.94,0,,,,,7.021,,,,,,,,,61,2025-11-21.0,J2000,0.7299,2.124,0.574,4.99,177.04,88.87,97.29,3.68,0.3183,2460694.86,2025-01-19.3,1.13E+03,3.1,0.00027,0.105,1.48,3.32,3.90E-08,1.70E-08,7.90E-08,1.20E-05,5.50E-05,5.50E-05,2.50E-05,3.00E-08,3.80E-09,7.40E-05,1.40E-05,APO,0,0.52495,,,,,,,,,
20143649,143649 (2003 QQ47),143649,Y,Y,17.39,0,,,,,2.6446,,,,,,,,,189,2025-11-21.0,J2000,0.187,1.085,0.882,62.1,0.98,104.96,162.78,1.29,0.8717,2460813.76,2025-05-18.2,413,1.13,0.00163,0.635,3.84,5.21,4.80E-09,5.20E-10,5.40E-09,8.10E-07,9.10E-07,4.00E-06,5.10E-06,6.20E-10,6.30E-10,5.80E-06,3.00E-07,APO,0,0.4481,,,,,,,,,
20143651,143651 (2003 QO104),143651,Y,Y,16.09,0,,,,,114.4,,,,,,,,,JPL 289,2025-11-21.0,J2000,0.5261,2.133,1.011,11.62,58.17,183.59,102.05,3.26,0.3164,2460677.93,2025-01-02.4,1.14E+03,3.12,0.00189,0.736,1.77,3.51,1.80E-08,1.10E-08,3.90E-08,3.30E-06,8.00E-06,9.50E-06,1.50E-05,1.60E-08,2.30E-09,4.50E-05,8.40E-06,APO,0,0.33035,,,,,,,,,
20143992,143992 (2004 AF),143992,Y,Y,16.16,0,,,,,,,,,,,,,,190,2025-11-21.0,J2000,0.5537,1.971,0.88,27.13,315.61,57.99,347.83,3.06,0.3561,2461034.67,2025-12-25.1,1.01E+03,2.77,0.0329,12.8,2.84,3.55,1.70E-09,1.40E-09,3.40E-09,2.90E-07,2.50E-07,3.80E-07,1.30E-06,2.20E-09,3.80E-10,3.60E-06,1.10E-06,APO,0,0.58795,,,,,,,,,
20144332,144332 (2004 DV24),144332,Y,Y,16.61,0,,,,,7.985,,,,,,,,,283,2025-11-21.0,J2000,0.2897,1.423,1.011,55.89,171.13,186.42,78.67,1.84,0.5806,2460865,2025-07-08.5,620,1.7,0.0056,2.18,3.6,4.22,6.10E-10,6.10E-10,8.00E-10,1.80E-07,1.40E-07,2.00E-07,9.30E-07,7.90E-10,3.80E-10,1.50E-06,4.00E-07,APO,0,0.44582,,,,,,,,,
20144898,144898 (2004 VD17),144898,Y,Y,18.89,0,,,,,3.369,,,,,,,,,215,2025-11-21.0,J2000,0.5888,1.508,0.62,4.22,223.94,91.02,159.09,2.4,0.5322,2460701.58,2025-01-26.0,676,1.85,0.00176,0.684,2.93,4.32,2.00E-08,2.20E-09,3.10E-08,3.30E-06,1.90E-05,1.90E-05,8.60E-06,3.60E-09,1.20E-09,1.60E-05,1.50E-06,APO,0,0.3814,,,,,,,,,
20144900,144900 (2004 VG64),144900,Y,Y,18.29,0,,,,,,,,,,,,,,94,2025-11-21.0,J2000,0.6557,0.9684,0.333,36.25,208.84,43.96,83.4,1.6,1.034,2460919.86,2025-09-01.3,348,0.953,0.0276,10.8,3.56,5.9,1.30E-07,1.90E-09,1.30E-07,1.90E-05,3.40E-06,9.70E-06,2.80E-05,3.10E-09,3.00E-09,2.70E-05,1.00E-06,ATE,0,0.41504,,,,,,,,,
20152560,152560 (1991 BN),152560,Y,Y,19.23,0,,,,,3.49,,,,,Q,,,,116,2025-11-21.0,J2000,0.398,1.444,0.869,3.45,268.8,80.99,123.81,2.02,0.5683,2460782.65,2025-04-17.1,633,1.73,0.0206,8.01,3.41,4.57,2.90E-08,2.40E-09,4.30E-08,3.60E-06,4.30E-05,4.30E-05,1.20E-05,3.30E-09,1.40E-09,2.10E-05,1.60E-06,APO,0,0.34962,,,,,,,,,
20152561,152561 (1991 RB),152561,Y,Y,19.1,0,,,,,,,,,,,,,,40,2025-11-21.0,J2000,0.4857,1.454,0.748,19.57,359.28,68.97,144.55,2.16,0.5619,2460743.26,2025-03-08.7,641,1.75,0.0387,15.1,3.37,4.45,1.10E-07,5.90E-09,1.50E-07,2.40E-05,2.00E-05,3.00E-05,3.80E-05,8.80E-09,3.40E-09,6.60E-05,3.90E-06,APO,0,0.5597,,,,,,,,,
20152637,152637 (1997 NC1),152637,Y,Y,17.87,0,,,,,,,,,,,,,,66,2025-11-21.0,J2000,0.2085,0.8649,0.685,16.72,96.46,16.6,245.95,1.05,1.225,2461093.57,2026-02-22.0,294,0.804,0.0153,5.94,4.05,6.78,8.10E-08,2.20E-09,6.90E-08,2.30E-05,1.60E-05,3.50E-05,4.70E-05,2.70E-09,4.70E-09,3.90E-05,1.10E-06,ATE,0,0.48157,,,,,,,,,
20152664,152664 (1998 FW4),152664,Y,Y,19.68,0,,,,,17.38,,,,,,,,,JPL 151,2025-11-21.0,J2000,0.714,2.52,0.721,3.41,353.53,85.61,2.25,4.32,0.2464,2460991.35,2025-11-11.8,1.46E+03,4,0.0151,5.87,1.04,3.04,7.60E-09,2.50E-09,2.00E-08,4.50E-06,1.30E-05,1.40E-05,3.00E-07,4.40E-09,3.70E-10,1.20E-06,2.20E-06,APO,0,0.29564,,,,1.90E-14,4.30E-15,,,,
20152671,152671 (1998 HL3),152671,Y,Y,20.24,0.036026391,,0.298,,0.2,,,,,,,,,0.01,126,2025-11-21.0,J2000,0.366,1.129,0.716,2.68,163.63,188.15,254.92,1.54,0.8216,2461128.39,2026-03-28.8,438,1.2,0.0454,17.7,3.88,5.47,4.80E-08,3.80E-09,5.40E-08,2.80E-06,8.00E-05,7.90E-05,1.50E-05,5.10E-09,4.10E-09,1.90E-05,2.20E-06,APO,0,0.53151,,,,-4.90E-14,7.00E-15,,,,
20152680,152680 (1998 KJ9),152680,Y,Y,19.49,0,,,,,,,,,,,,,,48,2025-11-21.0,J2000,0.6396,1.448,0.522,10.93,98.54,260.1,243.03,2.37,0.5658,2461207.22,2026-06-15.7,636,1.74,0.0059,2.3,3.13,4.39,4.20E-08,2.20E-09,6.10E-08,5.60E-06,3.00E-05,2.90E-05,1.80E-05,3.60E-09,1.30E-09,3.20E-05,1.40E-06,APO,0,0.55277,,,,,,,,,
20152685,152685 (1998 MZ),152685,Y,Y,19.33,0,,,,,,,,,,,,,,JPL 140,2025-11-21.0,J2000,0.573,1.346,0.575,0.15,122.3,39.22,241.47,2.12,0.631,2461188.33,2026-05-27.8,570,1.56,0.00162,0.629,2.87,4.7,2.00E-08,1.80E-09,2.70E-08,2.70E-06,9.00E-04,9.00E-04,5.10E-06,2.90E-09,1.30E-09,8.30E-06,1.20E-06,APO,0,0.54195,,,,,,,,,
20152754,152754 (1999 GS6),152754,Y,Y,19.22,0.096599081,,0.414,,0.216,8.021,,,,,,,,0.08,112,2025-11-21.0,J2000,0.4974,1.191,0.599,2.02,314.36,135,226.74,1.78,0.7584,2461176.21,2026-05-15.7,475,1.3,0.0189,7.34,3.45,5.2,1.90E-08,2.90E-09,2.20E-08,2.60E-06,6.10E-05,6.20E-05,9.50E-06,4.30E-09,2.70E-09,1.30E-05,1.70E-06,APO,0,0.37084,,,,-2.40E-14,4.40E-15,,,,
20152770,152770 (1999 RR28),152770,Y,Y,18.41,0,,,,,,,,,,,,,,134,2025-11-21.0,J2000,0.6543,1.878,0.649,7.14,178.14,284.61,25.03,3.11,0.3828,2460935.13,2025-09-16.6,940,2.57,0.0169,6.56,2.14,3.67,1.10E-08,6.40E-10,2.10E-08,5.20E-06,1.40E-05,1.30E-05,2.20E-06,1.10E-09,2.00E-10,5.60E-06,4.80E-07,APO,0,0.39035,,,,,,,,,
20152828,152828 (1999 VT25),152828,Y,Y,21.27,0,,,,,,,,,,,,,,JPL 57,2025-11-21.0,J2000,0.5231,1.162,0.554,5.15,221.92,319.25,208.41,1.77,0.7868,2461193.16,2026-06-01.6,458,1.25,0.0483,18.8,3.2,5.28,7.30E-08,5.50E-09,8.40E-08,9.50E-06,2.90E-05,3.30E-05,2.30E-05,8.40E-09,5.60E-09,3.00E-05,3.30E-06,APO,0,0.47043,,,,7.60E-14,9.10E-15,,,,
20152978,152978 (2000 GJ147),152978,Y,Y,19.58,0.2038241,,0.531,,0.109,10.009,,,,,S:,,,0.01,173,2025-11-21.0,J2000,0.2368,1.162,0.887,25.01,57.84,240.78,88.68,1.44,0.7865,2460887.76,2025-07-31.2,458,1.25,0.027,10.5,3.75,5.31,3.40E-08,1.10E-09,3.90E-08,6.30E-06,4.80E-06,1.10E-05,1.50E-05,1.40E-09,1.10E-09,1.80E-05,6.50E-07,APO,0,0.52349,,,,,,,,,
20153002,153002 (2000 JG5),153002,Y,Y,18.28,0,,,,,6.051,,,,,S:,,,,83,2025-11-21.0,J2000,0.796,1.341,0.273,31.42,213.03,233.46,201.48,2.41,0.6349,2461250.17,2026-07-28.6,567,1.55,0.0299,11.6,3.24,4.41,7.60E-08,2.70E-09,1.00E-07,1.20E-05,1.50E-05,1.40E-05,1.80E-05,4.80E-09,1.90E-09,2.90E-05,1.70E-06,APO,0,0.53375,,,,,,,,,
20153201,153201 (2000 WO107),153201,Y,Y,19.3,0.180585343,,0.51,,0.129,5.022,,,,,X,,,0.08,184,2025-11-21.0,J2000,0.7808,0.9111,0.2,7.77,69.19,213.76,312.79,1.62,1.133,2461042.16,2026-01-01.6,318,0.87,0.00286,1.11,3.55,6.23,2.10E-08,5.10E-09,2.00E-08,4.50E-06,7.20E-06,7.40E-06,1.50E-05,9.10E-09,9.50E-09,1.30E-05,2.70E-06,ATE,0,0.33489,,,,-1.60E-14,3.20E-15,,,,
20153220,153220 (2000 YN29),153220,Y,Y,17.43,0,,,,,,,,,,,,,,69,2025-11-21.0,J2000,0.6679,2.541,0.844,6.23,64.21,142.61,25.63,4.24,0.2434,2460895.21,2025-08-07.7,1.48E+03,4.05,0.0321,12.5,0.751,3.08,1.30E-07,7.10E-08,3.50E-07,4.10E-05,6.50E-05,6.90E-05,2.40E-05,1.20E-07,1.00E-08,9.60E-05,6.20E-05,APO,0,0.64945,,,,,,,,,
20153311,153311 (2001 MG1),153311,Y,Y,17.4,0,,,,,,,,,,,,,,84,2025-11-21.0,J2000,0.6459,2.502,0.886,28.41,142.32,218.53,43.77,4.12,0.2491,2460824.79,2025-05-29.2,1.45E+03,3.96,0.0397,15.5,1.72,3.01,8.70E-08,2.10E-08,2.20E-07,3.70E-05,2.30E-05,3.10E-05,2.80E-05,3.40E-08,3.10E-09,1.10E-04,1.80E-05,APO,0,0.56439,,,,,,,,,
20153591,153591 (2001 SN263),153591,Y,Y,17.11,10.89085453,,2,,,3.423,,,,,,,,,320,2025-11-21.0,J2000,0.48,1.988,1.034,6.69,325.71,173.06,124.08,2.94,0.3517,2460647.68,2024-12-03.1,1.02E+03,2.8,0.0472,18.4,2.11,3.69,7.40E-09,5.10E-10,1.50E-08,2.10E-06,7.70E-06,8.30E-06,1.50E-06,7.50E-10,1.30E-10,4.30E-06,3.90E-07,AMO,0,0.2476,,,,,,,,,
20153814,153814 (2001 WN5),153814,Y,Y,18.28,1.102096714,,0.932,,0.097,4.253,,,,,,,,0.01,194,2025-11-21.0,J2000,0.4673,1.711,0.912,1.92,277.35,44.65,286.58,2.51,0.4402,2461167.29,2026-05-06.7,818,2.24,0.0019,0.738,2.82,4.05,6.80E-09,1.30E-09,1.20E-08,1.70E-06,8.00E-05,8.10E-05,1.30E-06,1.80E-09,4.80E-10,3.10E-06,9.00E-07,APO,0,0.40722,,,,,,,,,
20153958,153958 (2002 AM31),153958,Y,Y,18.35,0,,,,,2.8174,,,,,,,,,158,2025-11-21.0,J2000,0.4514,1.703,0.934,4.64,144.36,197.95,344.28,2.47,0.4434,2461035.95,2025-12-26.4,812,2.22,0.032,12.5,2.93,4.07,8.40E-09,2.40E-09,1.40E-08,1.80E-06,1.10E-05,9.00E-06,5.10E-06,3.50E-09,9.30E-10,1.20E-05,1.70E-06,APO,0,0.43984,,,,,,,,,
20154019,154019 (2002 CZ9),154019,Y,Y,22.07,0,,,,,,,,,,,,,,13,2025-11-21.0,J2000,0.3602,1.325,0.848,4.97,142.84,80.88,162.93,1.8,0.646,2460748.29,2025-03-13.7,557,1.53,0.0253,9.86,3.18,4.86,1.40E-07,2.70E-08,1.70E-07,2.00E-05,4.70E-05,5.80E-05,2.00E-04,3.70E-08,2.00E-08,3.00E-04,1.70E-05,APO,1,0.77093,,,,,,,,,
20154269,154269 (2002 SM),154269,Y,Y,17.89,0,,,,,,,,,,,,,,JPL 88,2025-11-21.0,J2000,0.4865,1.871,0.961,14.4,10.77,217.5,94.02,2.78,0.385,2460756.28,2025-03-21.7,935,2.56,0.0226,8.78,2.28,3.79,5.30E-08,4.90E-09,9.90E-08,8.00E-06,1.70E-05,1.80E-05,9.20E-06,7.20E-09,1.50E-09,2.30E-05,3.60E-06,APO,0,0.57865,,,,,,,,,
20154275,154275 (2002 SR41),154275,Y,Y,20.13,0,,,,,2.283,,,,,,,,,98,2025-11-21.0,J2000,0.4908,1.084,0.552,11.58,247.77,258.2,109.23,1.62,0.8737,2460875.49,2025-07-18.9,412,1.13,0.0367,14.3,3.46,5.58,2.30E-08,6.90E-10,2.50E-08,2.90E-06,1.20E-05,1.10E-05,5.50E-06,1.00E-09,8.40E-10,6.20E-06,3.90E-07,APO,0,0.43982,,,,,,,,,
20154276,154276 (2002 SY50),154276,Y,Y,17.61,1.62139775,,1.06,,0.143,4.823,,,,,,,,0.35,179,2025-11-21.0,J2000,0.6889,1.705,0.53,8.74,34.02,99.71,105.17,2.88,0.4426,2460762.88,2025-03-28.3,813,2.23,0.00394,1.53,2.25,3.87,9.60E-09,5.30E-09,1.70E-08,3.10E-06,1.00E-05,9.50E-06,2.10E-06,9.00E-09,2.10E-09,4.60E-06,3.80E-06,APO,0,0.36314,,,,,,,,,
20154302,154302 (2002 UQ3),154302,Y,Y,17.69,0,,,,,4.329,,,,,,,,,139,2025-11-21.0,J2000,0.5615,1.72,0.754,28.83,222.7,280.97,45.26,2.69,0.437,2460896.93,2025-08-09.4,824,2.26,0.0381,14.8,2.94,3.86,3.30E-08,1.60E-09,5.70E-08,6.10E-06,5.40E-06,7.90E-06,6.30E-06,2.50E-09,6.10E-10,1.40E-05,1.10E-06,APO,0,0.44914,,,,,,,,,
20154330,154330 (2002 VX94),154330,Y,Y,18.18,0,,,,,8.932,,,,,,,,,JPL 153,2025-11-21.0,J2000,0.4087,1.477,0.873,7.16,320.06,215.22,213.11,2.08,0.5493,2461267.91,2026-08-15.4,655,1.79,0.0328,12.8,2.9,4.49,2.70E-08,3.50E-09,4.00E-08,3.00E-06,2.50E-05,2.60E-05,1.00E-05,4.90E-09,1.90E-09,1.90E-05,2.30E-06,APO,0,0.54247,,,,,,,,,
20154590,154590 (2003 MA3),154590,Y,Y,21.7,0.000865899,,0.086,,0.53,,,,,,,,,0,43,2025-11-21.0,J2000,0.4021,1.105,0.661,1.42,152.66,228.88,36.33,1.55,0.8483,2460957.68,2025-10-09.1,424,1.16,0.0131,5.09,3.91,5.55,6.30E-08,6.80E-09,6.90E-08,3.30E-06,2.40E-04,2.40E-04,2.10E-05,9.50E-09,7.80E-09,2.50E-05,3.90E-06,APO,0,0.50487,,,,-7.30E-14,1.00E-14,,,,
20155338,155338 (2006 MZ1),155338,Y,Y,20.4,0,,,,,,,,,,,,,,25,2025-11-21.0,J2000,0.4825,1.569,0.812,2.08,226.58,138.69,281.71,2.33,0.5013,2461156.67,2026-04-26.1,718,1.97,0.013,5.06,3.13,4.28,9.30E-08,3.00E-08,1.40E-07,1.40E-05,6.30E-04,6.30E-04,1.20E-04,4.40E-08,1.40E-08,2.40E-04,2.10E-05,APO,0,0.58129,,,,,,,,,
20159504,159504 (2000 WO67),159504,Y,Y,16.97,17.08757137,,2.324,,0.052,2.941,,,,,,,,0.02,161,2025-11-21.0,J2000,0.617,2.433,0.932,9.69,107.56,237.81,242.88,3.93,0.2597,2461451.58,2027-02-15.0,1.39E+03,3.8,0.0491,19.1,1.58,3.2,1.90E-08,1.40E-08,4.60E-08,5.40E-06,2.40E-05,2.50E-05,8.90E-06,2.30E-08,2.20E-09,3.80E-05,1.20E-05,APO,0,0.45196,,,,,,,,,
20159857,159857 (2004 LJ1),159857,Y,Y,15.47,39.39010121,,3.07,,0.13,2.72627,,,,,,,,1.32,401,2025-11-21.0,J2000,0.5935,2.262,0.92,23.15,235.53,140.02,75.2,3.61,0.2896,2460740.85,2025-03-06.3,1.24E+03,3.4,0.0154,6,2.15,3.28,1.50E-09,1.10E-09,3.30E-09,9.80E-08,4.80E-07,3.90E-07,9.50E-07,1.70E-09,2.10E-10,3.10E-06,8.90E-07,APO,0,0.39881,,,,,,,,,
20161989,161989 Cacus (1978 CA),161989,Y,Y,17.31,9.337546405,,1.9,,0.09,3.7538,,0.91,0.484,,,S,,,289,2025-11-21.0,J2000,0.2138,1.123,0.883,26.07,161.2,102.11,310.22,1.36,0.8286,2461060.59,2026-01-20.0,434,1.19,0.0144,5.61,3.81,5.45,2.40E-09,4.70E-10,2.60E-09,1.50E-07,1.50E-07,4.50E-07,5.20E-07,5.70E-10,5.20E-10,6.60E-07,2.70E-07,APO,0,0.47369,,,,-9.20E-15,1.50E-15,,,,
20162000,162000 (1990 OS),162000,Y,Y,19.64,0.087126836,,0.4,,,2.536,,,,,,,,,100,2025-11-21.0,J2000,0.4624,1.678,0.902,1.09,346.49,21.62,60.96,2.45,0.4533,2460866.01,2025-07-09.5,794,2.17,0.00902,3.51,3,4.11,2.40E-08,2.00E-09,4.20E-08,1.70E-06,1.90E-04,2.00E-04,9.00E-06,2.90E-09,8.10E-10,2.00E-05,1.40E-06,APO,0,0.36353,,,,,,,,,
20162039,162039 (1996 JG),162039,Y,Y,18.93,0,,,,,,,,,,,,,,110,2025-11-21.0,J2000,0.6604,1.802,0.612,5.28,52.82,280.25,49.31,2.99,0.4073,2460879.46,2025-07-22.9,884,2.42,0.0121,4.72,2.41,3.77,1.60E-08,5.80E-10,2.80E-08,5.50E-06,1.20E-05,1.20E-05,3.30E-06,9.60E-10,2.00E-10,8.00E-06,4.30E-07,APO,0,0.47712,,,,,,,,,
20162082,162082 (1998 HL1),162082,Y,Y,19.12,0,,,,,11.7864,,,,,,,,,170,2025-11-21.0,J2000,0.1871,1.246,1.013,20.05,213.52,148.67,151.56,1.48,0.7084,2460786.55,2025-04-21.0,508,1.39,0.0413,16.1,3.92,5.08,6.90E-09,1.90E-09,8.10E-09,3.80E-06,7.80E-07,5.10E-06,4.20E-06,2.30E-09,1.60E-09,5.60E-06,1.20E-06,APO,0,0.31887,,,,,,,,,
20162116,162116 (1998 SA15),162116,Y,Y,19.54,0.211991671,,0.538,,0.116,,,,,,,,,0.17,32,2025-11-21.0,J2000,0.5585,1.916,0.846,7.11,114.17,331.45,56.34,2.99,0.3717,2460848.93,2025-06-22.4,968,2.65,0.0473,18.4,2.29,3.71,6.30E-08,6.10E-09,1.20E-07,6.10E-06,9.90E-05,1.00E-04,1.30E-05,9.50E-09,1.80E-09,3.40E-05,4.60E-06,APO,0,0.57485,,,,,,,,,
20162120,162120 (1998 SH36),162120,Y,Y,20.64,0,,,,,,,,,,,,,,69,2025-11-21.0,J2000,0.571,1.088,0.467,2.13,217.81,278.86,267.01,1.71,0.8687,2461107.54,2026-03-08.0,414,1.13,0.012,4.68,3.35,5.53,6.50E-08,5.40E-10,7.10E-08,4.70E-06,1.10E-04,1.10E-04,9.40E-06,8.50E-10,6.50E-10,1.10E-05,3.10E-07,APO,0,0.56314,,,,,,,,,
20162162,162162 (1999 DB7),162162,Y,Y,19.99,0,,,,,,,,,,,,,,73,2025-11-21.0,J2000,0.1948,1.206,0.971,10.84,157.58,29.92,48.09,1.44,0.7444,2460935.89,2025-09-17.3,484,1.32,0.00129,0.504,3.52,5.24,4.40E-08,5.30E-09,5.60E-08,5.10E-06,1.30E-05,2.50E-05,3.10E-05,6.30E-09,4.90E-09,4.10E-05,3.20E-06,APO,0,0.48427,,,,2.80E-14,9.80E-15,,,,
20162173,162173 Ryugu (1999 JU3),162173,Y,Y,19.55,0.979255454,,0.896,1.004x0.876,0.045,7.63262,3.00E-08,,,,Cb,,,0,267,2025-11-21.0,J2000,0.1911,1.191,0.963,5.87,251.29,211.62,270.66,1.42,0.7584,2461118.31,2026-03-18.8,475,1.3,0.000833,0.324,3.7,5.3,8.90E-09,3.00E-09,1.20E-08,4.30E-07,2.60E-06,3.20E-06,3.00E-06,3.60E-09,2.90E-09,4.40E-06,1.80E-06,APO,0,0.23593,,,,-2.50E-14,6.30E-15,,,,
20162183,162183 (1999 NB5),162183,Y,Y,21.25,0,,,,,,,,,,,,,,52,2025-11-21.0,J2000,0.5349,2.073,0.964,1.43,235.31,123.18,275.18,3.18,0.3303,2461257.32,2026-08-04.8,1.09E+03,2.98,0.013,5.07,2.27,3.58,3.80E-08,1.90E-09,8.00E-08,6.50E-06,4.70E-04,4.70E-04,6.00E-06,2.90E-09,4.50E-10,1.90E-05,1.50E-06,APO,0,0.51575,,,,,,,,,
20162361,162361 (2000 AF6),162361,Y,Y,20.24,0,,,,,3.4558,,,,,,,,,129,2025-11-21.0,J2000,0.4111,0.8758,0.516,2.71,109.86,201.28,309.81,1.24,1.202,2461042.23,2026-01-01.7,299,0.82,0.0227,8.83,4.01,6.69,3.80E-08,1.50E-08,3.30E-08,3.60E-06,5.10E-05,5.50E-05,3.70E-05,2.10E-08,3.10E-08,3.20E-05,7.70E-06,ATE,0,0.35663,,,,3.50E-14,5.40E-15,,,,
20162416,162416 (2000 EH26),162416,Y,Y,21.67,0,,,,,24,,,,,,,,,44,2025-11-21.0,J2000,0.4781,1.854,0.968,0.4,215.26,19.25,39.98,2.74,0.3904,2460898.1,2025-08-10.5,922,2.52,0.00108,0.42,2.26,3.85,8.70E-09,1.80E-08,1.60E-08,1.10E-05,1.20E-03,1.20E-03,5.70E-05,2.60E-08,5.60E-09,1.40E-04,1.30E-05,APO,0,0.47493,,,,,,,,,
20162421,162421 (2000 ET70),162421,Y,Y,18.11,0,,,,,8.947,,,,,,,,,175,2025-11-21.0,J2000,0.1238,0.9466,0.829,22.32,331.11,46.07,99.55,1.06,1.07,2460907.47,2025-08-19.9,336,0.921,0.0295,11.5,4.15,6.28,7.20E-09,1.40E-09,7.30E-09,6.80E-07,3.10E-07,2.40E-06,6.30E-06,1.60E-09,2.30E-09,5.70E-06,7.40E-07,ATE,0,0.4406,,,,-1.40E-14,2.50E-15,,,,
20162422,162422 (2000 EV70),162422,Y,Y,20.6,0,,,,,,,,,,,,,,75,2025-11-21.0,J2000,0.5311,1.207,0.566,1.4,108.92,314.52,178.13,1.85,0.7432,2460760.8,2025-03-26.2,484,1.33,0.0119,4.63,3.5,5.13,1.10E-07,3.20E-09,1.30E-07,2.50E-06,2.80E-04,2.70E-04,3.00E-05,4.90E-09,2.90E-09,4.00E-05,1.90E-06,APO,0,0.5856,,,,,,,,,
20162474,162474 (2000 LB16),162474,Y,Y,18.62,0,,,,,,,,,,,,,,78,2025-11-21.0,J2000,0.3573,1.241,0.797,50.71,80.85,285.25,88.65,1.68,0.7131,2460876.19,2025-07-19.6,505,1.38,0.00435,1.69,4.03,4.77,3.50E-08,9.40E-10,4.30E-08,1.80E-05,6.10E-06,9.10E-06,8.10E-06,1.30E-09,8.10E-10,1.10E-05,5.70E-07,APO,0,0.58679,,,,,,,,,
20162510,162510 (2000 QW69),162510,Y,Y,17.6,3.783797904,,1.406,,0.089,,,,,,,,,0.31,178,2025-11-21.0,J2000,0.3023,1.376,0.96,38.14,344.32,220.72,335.64,1.79,0.6105,2461040.41,2025-12-30.9,590,1.61,0.0237,9.21,3.29,4.55,1.30E-09,1.50E-09,1.20E-09,2.80E-07,3.00E-07,6.30E-07,3.60E-06,1.90E-09,9.80E-10,5.90E-06,9.50E-07,APO,0,0.3479,,,,,,,,,
20162567,162567 (2000 RW37),162567,Y,Y,19.97,0.05118072,,0.335,,0.173,2.439,,,,,C,,,0.01,JPL 66,2025-11-21.0,J2000,0.2501,1.247,0.935,13.75,333.28,133.32,295.18,1.56,0.7075,2461092.12,2026-02-20.6,509,1.39,0.00693,2.7,3.57,5.09,5.10E-08,1.80E-09,6.20E-08,9.30E-06,1.70E-05,2.20E-05,1.70E-05,2.30E-09,1.60E-09,2.40E-05,1.10E-06,APO,0,0.4506,,,,,,,,,
20162687,162687 (2000 UH1),162687,Y,Y,18.75,0,,,,,,,,,,,,,,78,2025-11-21.0,J2000,0.5438,1.875,0.855,14.77,76.12,40.99,246.2,2.89,0.3838,2461296.99,2026-09-13.4,938,2.57,0.0344,13.4,2.33,3.75,1.60E-08,5.90E-10,3.00E-08,5.30E-06,1.70E-05,1.70E-05,2.60E-06,9.20E-10,1.80E-10,6.80E-06,4.50E-07,APO,0,0.54449,,,,,,,,,
20162695,162695 (2000 UL11),162695,Y,Y,20.2,0,,,,,,,,,,,,,,50,2025-11-21.0,J2000,0.6356,2.123,0.774,2.19,333.18,152.13,13.99,3.47,0.3186,2460956.58,2025-10-08.0,1.13E+03,3.09,0.0232,9.02,1.63,3.44,1.10E-07,7.80E-08,2.50E-07,7.60E-06,4.70E-04,4.70E-04,1.30E-04,1.30E-07,1.80E-08,4.20E-04,6.20E-05,APO,1,0.44266,,,,,,,,,
20162783,162783 (2000 YJ11),162783,Y,Y,20.91,0,,,,,,,,,,,,,,41,2025-11-21.0,J2000,0.2323,1.314,1.009,7.26,64.91,339.15,228.88,1.62,0.6546,2461200.81,2026-06-09.3,550,1.51,0.03,11.7,3.76,4.93,1.10E-07,1.60E-08,1.40E-07,1.30E-05,5.80E-05,6.00E-05,5.90E-05,2.00E-08,1.20E-08,9.30E-05,1.00E-05,APO,0,0.52477,,,,-9.00E-14,2.40E-14,,,,
