spkid,full_name,pdes,neo,pha,H,Mass,G,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,H_sigma,diameter_sigma,orbit_id,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,moid_jup,t_jup,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,condition_code,rms,two_body,A1,A1_sigma,A2,A2_sigma,A3,A3_sigma,DT,DT_sigma
3297371,       (2005 UW6),2005 UW6,Y,Y,21.8,0,,,,,,,,,,,,,,16,2025-11-21.0,J2000,0.7393,2.047,0.534,0.87,334.22,181.27,286.46,3.56,0.3365,2461219.05,2026-06-27.5,1.07E+03,2.93,0.015,5.86,1.45,3.39,1.70E-04,4.70E-03,8.90E-04,9.30E-03,1.40E+00,1.40E+00,6.60E+00,8.30E-03,1.20E-03,2.00E+01,3.70E+00,APO,7,0.4459,,,,,,,,,
3297378,       (2005 UT64),2005 UT64,Y,Y,20.26,0,,,,,,,,,,,,,,21,2025-11-21.0,J2000,0.5213,1.821,0.872,10.51,161.54,327.46,22.74,2.77,0.401,2460943.8,2025-09-25.2,898,2.46,0.0467,18.2,2.34,3.85,7.80E-08,5.00E-08,1.40E-07,2.00E-05,1.50E-04,1.40E-04,8.90E-05,7.60E-08,1.70E-08,2.20E-04,3.70E-05,APO,0,0.5574,,,,,,,,,
3299947,       (2005 VR7),2005 VR7,Y,Y,21.18,0,,,,,,,,,,,,,,23,2025-11-21.0,J2000,0.2871,1.083,0.772,25.25,254.85,101.07,332.93,1.39,0.8747,2461031.45,2025-12-21.9,412,1.13,0.0285,11.1,4.09,5.6,1.40E-07,5.70E-09,1.50E-07,3.50E-05,3.10E-05,3.30E-05,5.20E-05,7.30E-09,6.90E-09,5.90E-05,3.20E-06,APO,0,0.54086,,,,,,,,,
3303213,       (2005 WD),2005 WD,Y,Y,21.93,0,,,,,2.927,,,,,,,,,29,2025-11-21.0,J2000,0.5604,2.308,1.015,26.17,227.65,161.05,262.95,3.6,0.281,2461345.82,2026-11-01.3,1.28E+03,3.51,0.0426,16.6,1.93,3.24,3.50E-08,6.30E-09,7.80E-08,2.10E-05,3.30E-06,4.00E-05,6.90E-06,9.80E-09,1.10E-09,2.30E-05,5.20E-06,APO,0,0.37421,,,,,,,,,
3303218,       (2005 WA1),2005 WA1,Y,Y,21.72,0,,,,,,,,,,,,,,29,2025-11-21.0,J2000,0.5837,2.009,0.836,10.91,246.85,242.12,352.29,3.18,0.3462,2461022.78,2025-12-13.2,1.04E+03,2.85,0.0236,9.2,2.04,3.58,5.80E-08,8.10E-09,1.10E-07,8.30E-06,1.00E-05,2.10E-05,1.80E-05,1.30E-08,2.10E-09,5.30E-05,6.30E-06,APO,0,0.47354,,,,,,,,,
3305002,       (2005 WY55),2005 WY55,Y,Y,20.7,0,,,,,,,,,,,,,,33,2025-11-21.0,J2000,0.7187,2.493,0.701,7.27,247.95,286.4,12.19,4.28,0.2504,2460951.8,2025-10-03.3,1.44E+03,3.94,0.00284,1.1,0.952,3.04,2.10E-07,5.30E-08,5.30E-07,3.10E-05,5.30E-05,7.50E-05,6.50E-05,9.10E-08,8.00E-09,2.60E-04,4.60E-05,APO,0,0.61629,,,,,,,,,
3307228,       (2005 XT77),2005 XT77,Y,Y,21.41,0,,,,,,,,,,,,,,32,2025-11-21.0,J2000,0.2665,0.8411,0.617,17.22,84.78,150.03,166.73,1.07,1.278,2460870.01,2025-07-13.5,282,0.771,0.0272,10.6,3.94,6.93,2.90E-07,1.40E-08,2.50E-07,3.30E-05,1.20E-05,5.00E-05,1.40E-04,1.80E-08,3.20E-08,1.00E-04,7.00E-06,ATE,0,0.4033,,,,7.60E-14,2.20E-14,,,,
3309093,       (2005 YU3),2005 YU3,Y,Y,19.8,0,,,,,,,,,,,,,,21,2025-11-21.0,J2000,0.8409,2.553,0.406,3.01,2.51,341.47,329.23,4.7,0.2416,2461127.83,2026-03-28.3,1.49E+03,4.08,0.0428,16.6,0.719,2.79,7.70E-07,7.80E-07,1.80E-06,1.30E-05,1.30E-03,1.40E-03,4.50E-04,1.40E-06,1.10E-07,1.90E-03,6.80E-04,APO,0,0.53342,,,,,,,,,
3309286,       (2005 YS8),2005 YS8,Y,Y,20,0,,,,,,,,,,,,,,JPL 10,2006-01-02.0,J2000,0.5293,1.697,0.799,17.37,56.47,298.21,32.12,2.59,0.4459,2453665.48,2005-10-21.9,807,2.21,0.00717,2.79,2.99,3.99,5.70E-04,2.30E-03,1.00E-04,7.40E-03,1.30E-02,3.90E-02,7.70E-02,3.50E-03,9.00E-04,2.80E-02,1.60E+00,APO,8,0.60285,,,,,,,,,
3311865,       (2006 AR3),2006 AR3,Y,Y,20.6,0,,,,,,,,,,,,,,26,2025-11-21.0,J2000,0.6364,2.468,0.897,4.71,12.29,40.85,60.59,4.04,0.2542,2460762.11,2025-03-27.6,1.42E+03,3.88,0.00257,1,1.4,3.17,3.90E-07,4.20E-07,1.10E-06,4.60E-05,5.60E-04,4.60E-04,5.30E-04,6.80E-07,6.40E-08,2.00E-03,3.60E-04,APO,1,0.58718,,,,,,,,,
