"spkid","full_name"
20053430," 53430 (1999 TY16)"
20053435," 53435 Leonard (1999 VM40)"
20053550," 53550 (2000 BF19)"
20053789," 53789 (2000 ED104)"
20054071," 54071 (2000 GQ146)"
20054401," 54401 (2000 LM)"
20054509," 54509 YORP (2000 PH5)"
20054660," 54660 (2000 UJ1)"
20054686," 54686 (2001 DU8)"
20054690," 54690 (2001 EB)"
20054789," 54789 (2001 MZ7)"
20055408," 55408 (2001 TC2)"
20055532," 55532 (2001 WG2)"
20065674," 65674 (1988 SM)"
20065679," 65679 (1989 UQ)"
20065690," 65690 (1991 DG)"
20065706," 65706 (1992 NA)"
20065717," 65717 (1993 BX3)"
20065733," 65733 (1993 PC)"
20065803," 65803 Didymos (1996 GT)"
20065909," 65909 (1998 FH12)"
20065996," 65996 (1998 MX5)"
20066008," 66008 (1998 QH2)"
20066063," 66063 (1998 RO1)"
20066146," 66146 (1998 TU3)"
20066251," 66251 (1999 GJ2)"
20066253," 66253 (1999 GT3)"
20066272," 66272 (1999 JW6)"
20066391," 66391 Moshup (1999 KW4)"
20066400," 66400 (1999 LT7)"
20066407," 66407 (1999 LQ28)"
20066959," 66959 (1999 XO35)"
20067367," 67367 (2000 LY27)"
20067381," 67381 (2000 OL8)"
20067399," 67399 (2000 PJ6)"
20068031," 68031 (2000 YK29)"
20068063," 68063 (2000 YJ66)"
20068216," 68216 (2001 CV26)"
20068267," 68267 (2001 EA16)"
20068278," 68278 (2001 FC7)"
20068346," 68346 (2001 KZ66)"
20068347," 68347 (2001 KB67)"
20068348," 68348 (2001 LO7)"
20068350," 68350 (2001 MK3)"
20068359," 68359 (2001 OZ13)"
20068372," 68372 (2001 PM9)"
20068548," 68548 (2001 XR31)"
20068950," 68950 (2002 QF15)"
20069230," 69230 Hermes (1937 UB)"
20085182," 85182 (1991 AQ)"
20085184," 85184 (1991 JG1)"
20085236," 85236 (1993 KH)"
20085275," 85275 (1994 LY)"
20085490," 85490 (1997 SE5)"
20085585," 85585 Mjolnir (1998 FG2)"
20085628," 85628 (1998 KV2)"
20085640," 85640 (1998 OX4)"
20085709," 85709 (1998 SG36)"
20085713," 85713 (1998 SS49)"
20085770," 85770 (1998 UP1)"
20085774," 85774 (1998 UT18)"
20085804," 85804 (1998 WQ5)"
20085818," 85818 (1998 XM4)"
20085839," 85839 (1998 YO4)"
20085867," 85867 (1999 BY9)"
20085938," 85938 (1999 DJ4)"
20085953," 85953 (1999 FK21)"
20085989," 85989 (1999 JD6)"
20085990," 85990 (1999 JV6)"
20086039," 86039 (1999 NC43)"
20086067," 86067 (1999 RM28)"
20086324," 86324 (1999 WA2)"
20086326," 86326 (1999 WK13)"
20086450," 86450 (2000 CK33)"
20086666," 86666 (2000 FL10)"
20086667," 86667 (2000 FO10)"
20086819," 86819 (2000 GK137)"
20086829," 86829 (2000 GR146)"
20086878," 86878 (2000 HD24)"
20087024," 87024 (2000 JS66)"
20087025," 87025 (2000 JT66)"
20087309," 87309 (2000 QP)"
20087311," 87311 (2000 QJ1)"
20087684," 87684 (2000 SY2)"
20088188," 88188 (2000 XH44)"
20088213," 88213 (2001 AF2)"
20088254," 88254 (2001 FM129)"
20088263," 88263 (2001 KQ1)"
20088264," 88264 (2001 KN20)"
20088710," 88710 (2001 SL9)"
20088959," 88959 (2001 TZ44)"
20089136," 89136 (2001 US16)"
20089355," 89355 (2001 VS78)"
20089830," 89830 (2002 CE)"
20089958," 89958 (2002 LY45)"
20089959," 89959 (2002 NT7)"
20090075," 90075 (2002 VU94)"
20090147," 90147 (2002 YK14)"
20090367," 90367 (2003 LC5)"
20090373," 90373 (2003 SZ219)"
20090403," 90403 (2003 YE45)"
20090416," 90416 (2003 YK118)"
20096189," 96189 Pygmalion (1991 NT3)"
20096315," 96315 (1997 AP10)"
20096536," 96536 (1998 SO10)"
20096590," 96590 (1998 XB)"
20096631," 96631 (1999 FP59)"
20096744," 96744 (1999 OW3)"
20097725," 97725 (2000 GB147)"
20098943," 98943 Torifune (2001 CC21)"
20099248," 99248 (2001 KY66)"
20099799," 99799 (2002 LJ3)"
20099907," 99907 (1989 VA)"
20099935," 99935 (2002 AV4)"
20099942," 99942 Apophis (2004 MN4)"
20100004,"100004 (1983 VA)"
20100085,"100085 (1992 UY4)"
20100756,"100756 (1998 FM5)"
20100926,"100926 (1998 MQ)"
20101869,"101869 (1999 MM)"
20101873,"101873 (1999 NC5)"
20101955,"101955 Bennu (1999 RQ36)"
20102873,"102873 (1999 WK11)"
20103067,"103067 (1999 XA143)"
20105140,"105140 (2000 NL10)"
20105141,"105141 (2000 NF11)"
20106538,"106538 (2000 WK63)"
20106589,"106589 (2000 WN107)"
20108519,"108519 (2001 LF)"
20108906,"108906 (2001 PL9)"
20111253,"111253 (2001 XU10)"
20112221,"112221 (2002 KH4)"
20112985,"112985 (2002 RS28)"
20115052,"115052 (2003 RD6)"
20136564,"136564 (1977 VA)"
20136582,"136582 (1992 BA)"
20136617,"136617 (1994 CC)"
20136618,"136618 (1994 CN2)"
20136635,"136635 (1994 VA1)"
20136745,"136745 (1995 WL8)"
20136770,"136770 (1996 PC1)"
20136773,"136773 (1996 TR6)"
20136793,"136793 (1997 AQ18)"
20136795,"136795 Tatsunokingo (1997 BQ)"
20136818,"136818 Selqet (1997 MW1)"
20136839,"136839 (1997 WT22)"
20136849,"136849 (1998 CS1)"
20136874,"136874 (1998 FH74)"
20136897,"136897 (1998 HJ41)"
20136900,"136900 (1998 HL49)"
20136923,"136923 (1998 JH2)"
20136993,"136993 (1998 ST49)"
20137032,"137032 (1998 UO1)"
20137044,"137044 (1998 UC50)"
20137052,"137052 Tjelvar (1998 VO33)"
20137062,"137062 (1998 WM)"
20137064,"137064 (1998 WP5)"
20137078,"137078 (1998 XZ4)"
20137084,"137084 (1998 XS16)"
20137099,"137099 (1998 YW3)"
20137108,"137108 (1999 AN10)"
20137120,"137120 (1999 BJ8)"
20137125,"137125 (1999 CT3)"
20137126,"137126 (1999 CF9)"
20137158,"137158 (1999 FB)"
20137170,"137170 (1999 HF1)"
20137175,"137175 (1999 JA11)"
20137199,"137199 (1999 KX4)"
20137427,"137427 (1999 TF211)"
20137671,"137671 (1999 XP35)"
20137799,"137799 (1999 YB)"
20137802,"137802 (1999 YT)"
20137805,"137805 (1999 YK5)"
20137911,"137911 (2000 AB246)"
20137924,"137924 (2000 BD19)"
20137925,"137925 (2000 BJ19)"
